origen,id_origen,cantidad_original,cantidad_redondeada,producto
detalle_pecosa,6365,45.360,45,
detalle_pecosa,6366,62.208,62,
detalle_pecosa,6367,38.880,39,
detalle_pecosa,6368,64.800,65,
detalle_pecosa,6369,55.728,56,
detalle_pecosa,6370,54.432,54,
detalle_pecosa,6371,36.288,36,
detalle_pecosa,6372,38.880,39,
detalle_pecosa,6373,60.912,61,
detalle_pecosa,6374,46.656,47,
detalle_pecosa,6375,32.400,32,
detalle_pecosa,6376,47.952,48,
detalle_pecosa,6377,62.208,62,
detalle_pecosa,6378,66.096,66,
detalle_pecosa,6379,46.656,47,
detalle_pecosa,6380,47.952,48,
detalle_pecosa,6381,80.352,80,
detalle_pecosa,6382,51.840,52,
detalle_pecosa,6383,37.584,38,
detalle_pecosa,6384,38.880,39,
detalle_pecosa,6385,38.880,39,
detalle_pecosa,6386,47.952,48,
detalle_pecosa,6387,51.840,52,
detalle_pecosa,6388,53.136,53,
detalle_pecosa,6389,77.760,78,
detalle_pecosa,6390,71.280,71,
detalle_pecosa,6391,42.768,43,
detalle_pecosa,6392,64.800,65,
detalle_pecosa,6393,38.880,39,
detalle_pecosa,6394,82.944,83,
detalle_pecosa,6395,31.104,31,
detalle_pecosa,6396,34.992,35,
detalle_pecosa,6397,38.880,39,
detalle_pecosa,6398,81.648,82,
detalle_pecosa,6399,59.616,60,
detalle_pecosa,6400,58.320,58,
detalle_pecosa,6401,63.504,64,
detalle_pecosa,6402,45.360,45,
detalle_pecosa,6403,75.168,75,
detalle_pecosa,6404,46.656,47,
detalle_pecosa,6405,38.880,39,
detalle_pecosa,6406,41.472,41,
detalle_pecosa,6407,25.920,26,
detalle_pecosa,6408,42.768,43,
detalle_pecosa,6409,42.768,43,
detalle_pecosa,6410,44.064,44,
detalle_pecosa,6411,31.104,31,
detalle_pecosa,6412,38.880,39,
detalle_pecosa,6413,67.392,67,
detalle_pecosa,6414,54.432,54,
detalle_pecosa,6415,51.840,52,
detalle_pecosa,6416,37.584,38,
detalle_pecosa,6417,66.096,66,
detalle_pecosa,6418,66.096,66,
detalle_pecosa,6419,41.472,41,
detalle_pecosa,6420,77.760,78,
detalle_pecosa,6421,57.024,57,
detalle_pecosa,6422,55.728,56,
detalle_pecosa,6423,49.248,49,
detalle_pecosa,6424,47.952,48,
detalle_pecosa,6425,34.992,35,
detalle_pecosa,6426,51.840,52,
detalle_pecosa,6427,64.800,65,
detalle_pecosa,6428,110.160,110,
detalle_pecosa,6429,49.248,49,
detalle_pecosa,6822,41.631,42,
detalle_pecosa,6823,45.663,46,
detalle_pecosa,6824,52.719,53,
detalle_pecosa,6825,50.703,51,
detalle_pecosa,6826,42.639,43,
detalle_pecosa,6827,54.735,55,
detalle_pecosa,6828,25.503,26,
detalle_pecosa,6829,40.623,41,
detalle_pecosa,6830,30.543,31,
detalle_pecosa,6831,48.687,49,
detalle_pecosa,6832,27.519,28,
detalle_pecosa,6833,30.543,31,
detalle_pecosa,6834,39.615,40,
detalle_pecosa,6838,23.487,23,
detalle_pecosa,6839,20.463,20,
detalle_pecosa,6840,28.527,29,
detalle_pecosa,6841,35.584,36,
detalle_pecosa,6842,48.688,49,
detalle_pecosa,6843,30.544,31,
detalle_pecosa,6844,50.704,51,
detalle_pecosa,6845,43.648,44,
detalle_pecosa,6846,42.640,43,
detalle_pecosa,6847,28.528,29,
detalle_pecosa,6848,30.544,31,
detalle_pecosa,6849,47.680,48,
detalle_pecosa,6850,36.592,37,
detalle_pecosa,6851,25.504,26,
detalle_pecosa,6852,37.600,38,
detalle_pecosa,6853,48.688,49,
detalle_pecosa,6854,51.712,52,
detalle_pecosa,6855,36.592,37,
detalle_pecosa,6856,37.600,38,
detalle_pecosa,6857,62.800,63,
detalle_pecosa,6858,40.624,41,
detalle_pecosa,6859,29.536,30,
detalle_pecosa,6860,30.544,31,
detalle_pecosa,6861,30.544,31,
detalle_pecosa,6862,37.600,38,
detalle_pecosa,6863,40.624,41,
detalle_pecosa,6864,41.632,42,
detalle_pecosa,6865,60.784,61,
detalle_pecosa,6866,55.744,56,
detalle_pecosa,6867,33.568,34,
detalle_pecosa,6868,50.704,51,
detalle_pecosa,6869,30.544,31,
detalle_pecosa,6870,64.816,65,
detalle_pecosa,6871,24.496,24,
detalle_pecosa,6872,27.520,28,
detalle_pecosa,6873,30.544,31,
detalle_pecosa,6874,63.808,64,
detalle_pecosa,6875,46.672,47,
detalle_pecosa,6876,45.664,46,
detalle_pecosa,6877,49.696,50,
detalle_pecosa,6878,35.584,36,
detalle_pecosa,6879,58.768,59,
detalle_pecosa,6880,36.592,37,
detalle_pecosa,6881,30.544,31,
detalle_pecosa,6882,32.560,33,
detalle_pecosa,6883,20.464,20,
detalle_pecosa,6884,33.568,34,
detalle_pecosa,6885,33.568,34,
detalle_pecosa,6886,34.576,35,
detalle_pecosa,6887,24.496,24,
detalle_pecosa,6888,30.544,31,
detalle_pecosa,6889,52.720,53,
detalle_pecosa,6890,42.640,43,
detalle_pecosa,6891,40.624,41,
detalle_pecosa,6892,29.536,30,
detalle_pecosa,6893,51.712,52,
detalle_pecosa,6894,51.712,52,
detalle_pecosa,6895,32.560,33,
detalle_pecosa,6896,60.784,61,
detalle_pecosa,6897,44.656,45,
detalle_pecosa,6898,43.648,44,
detalle_pecosa,6899,38.608,39,
detalle_pecosa,6900,37.600,38,
detalle_pecosa,6901,27.520,28,
detalle_pecosa,6902,40.624,41,
detalle_pecosa,6903,50.704,51,
detalle_pecosa,6904,85.984,86,
detalle_pecosa,6905,38.608,39,
